"","approx_year_built","cats_allowed","common_charges","coop_condo","dining_room_type","dogs_allowed","full_address_or_zip_code","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","zip_codes"
"1",1955,"no","$767","co-op","combo","no","Flushing NY, 11355",NA,"eat in",NA,2,1,NA,5,NA,NA,"$228,000 ",NA,NA,82,"11355"
"2",1955,"no",NA,"co-op","formal","no","30-11 Parsons Blvd,  Flushing NY, 11354 ( Sold )      Share",NA,"eat in","$604",1,1,NA,4,NA,NA,"$235,500 ",890,NA,89,"11354"
"3",2004,"no","$167","condo","combo","no","102-14 Lewis Ave,  Corona NY, 11368",NA,"efficiency",NA,1,1,NA,3,NA,NA,"$137,550 ",550,"$5,500 ",90,"11368"
"4",2002,"no","$275","condo","combo","no","144-48 Roosevelt Ave,  Flushing NY, 11354",NA,"eat in",NA,3,2,NA,5,NA,NA,"$545,000 ",NA,"$2,260 ",94,"11354"
"5",1949,"yes",NA,"co-op","combo","yes","245-27 76th Ave,  Bellerose NY, 11426",NA,"eat in","$660",2,1,NA,4,NA,39,"$241,700 ",675,NA,71,"11426"
"6",1938,"yes",NA,"co-op","combo","yes","124-16 84 Rd,  Kew Gardens NY, 11415",NA,"eat in","$932",2,1,NA,4,NA,NA,"$250,000 ",1000,NA,90,"11415"
"7",1950,"no",NA,"co-op","combo","no","197-09 Dunton Ave,  Holliswood NY, 11423",NA,"efficiency","$660",1,1,NA,3,NA,NA,"$145,000 ",NA,NA,72,"11423"
"8",1960,"no",NA,"co-op",NA,"no","76-26 113 Street, Forest Hills, NY 11375",NA,"efficiency","$514",0,1,NA,2,NA,NA,"$109,000 ",375,NA,93,"11375"
"9",1960,"no",NA,"co-op",NA,"no","209-15 18th Ave,  Bayside NY, 11360",NA,"eat in","$781",1,1,NA,4,"$20",NA,"$212,000 ",NA,NA,70,"11360"
"10",2005,"no",NA,"condo","other","no","32-86 41st St,  Astoria NY, 11102",NA,"eat in",NA,1,1,NA,3,NA,NA,"$535,000 ",681,"$1,320 ",98,"11102"
"11",1982,"no","$821","condo","formal","no","One Bay Club Dr,  Bayside NY, 11360","Underground","eat in",NA,2,2,NA,5,NA,NA,"$675,000 ",NA,"$5,400 ",82,"11360"
"12",1982,"no","$546","condo","combo","no","One Bay Club Dr,  Bayside NY, 11360","Yes","eat in",NA,1,1,NA,4,NA,NA,"$468,000 ",NA,"$3,500 ",82,"11360"
