approx_year_built,cats_allowed,coop_condo,dining_room_type,dogs_allowed,garage_exists,kitchen_type,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,pct_tax_deductibl,sale_price,sq_footage,walk_score,zip_codes,monthly_costs
1955,no,co-op,combo,no,no,eat in,2,1,0,5,NA,228000,NA,82,North Queens,767
1955,no,co-op,formal,no,no,eat in,1,1,0,4,NA,235500,890,89,North Queens,604
2004,no,condo,combo,no,no,efficiency,1,1,0,3,NA,137550,550,90,West Queens,625.3333333
2002,no,condo,combo,no,no,eat in,3,2,0,5,NA,545000,NA,94,North Queens,463.3333333
1949,yes,co-op,combo,yes,no,eat in,2,1,0,4,39,241700,675,71,Southeast Queens,660
1938,yes,co-op,combo,yes,no,eat in,2,1,0,4,NA,250000,1000,90,Southwest Queens,932
1950,no,co-op,combo,no,no,efficiency,1,1,0,3,NA,145000,NA,72,Jamaica,660
1960,no,co-op,NA,no,no,efficiency,0,1,0,2,NA,109000,375,93,West Central Queens,514
1960,no,co-op,NA,no,no,eat in,1,1,0,4,NA,212000,NA,70,North Queens,801
2005,no,condo,NA,no,no,eat in,1,1,0,3,NA,535000,681,98,Northwest Queens,110
1982,no,condo,formal,no,yes,eat in,2,2,0,5,NA,675000,NA,82,North Queens,1271
1982,no,condo,combo,no,yes,eat in,1,1,0,4,NA,468000,NA,82,North Queens,837.6666667
1961,yes,co-op,combo,no,no,eat in,2,1,0,4,NA,220000,NA,78,Northeast Queens,829
1960,yes,co-op,combo,no,no,Combo,3,1,0,5,NA,280000,950,79,North Queens,1006
1985,no,condo,formal,yes,yes,eat in,3,2,0,6,NA,533000,1100,85,Central Queens,515.75
1960,no,co-op,combo,no,no,Combo,2,2,0,5,NA,370000,1300,88,North Queens,1000
1962,no,co-op,formal,no,no,combo,2,2,0,5,NA,392000,NA,88,West Central Queens,0
1955,yes,co-op,NA,yes,no,efficiency,1,1,0,3,NA,200000,NA,90,West Central Queens,587
1963,no,co-op,NA,no,no,efficiency,2,2,0,5,NA,289550,NA,91,Southwest Queens,1674
1960,no,co-op,combo,no,no,efficiency,1,1,0,3,NA,140000,NA,90,Southwest Queens,655
1956,no,co-op,combo,no,no,eat in,1,1,0,3,50,175000,NA,92,Southwest Queens,791
1956,yes,co-op,NA,no,no,efficiency,1,1,0,4,NA,150000,NA,72,Jamaica,660
2008,no,condo,combo,no,no,efficiency,3,2,0,7,NA,500000,991,87,West Queens,541.0833333
1948,no,co-op,NA,no,no,efficiency,1,1,0,4,NA,105000,NA,86,Jamaica,1038
1958,no,co-op,NA,no,no,eat in,3,1,1,5,NA,270000,1150,96,West Queens,830
1955,no,co-op,combo,no,no,efficiency,1,1,0,3,NA,130000,NA,57,Southeast Queens,512
1984,yes,condo,NA,no,no,eat in,2,1,0,5,NA,527000,1000,68,West Central Queens,650.5
1954,yes,co-op,formal,no,no,efficiency,2,1,1,5,NA,350000,NA,70,North Queens,753
1961,no,co-op,combo,no,no,efficiency,2,1,0,5,NA,365000,NA,64,Northeast Queens,1103
1952,no,co-op,combo,no,no,efficiency,2,1,0,4,NA,290000,NA,94,West Central Queens,786
1928,yes,co-op,NA,yes,no,eat in,1,1,0,3,NA,285000,850,98,West Queens,0
1960,no,co-op,NA,no,no,Combo,2,1,0,4,NA,380000,900,68,Northeast Queens,955
1960,yes,co-op,formal,no,no,efficiency,2,2,0,5,NA,255000,NA,77,Southwest Queens,850
1965,yes,co-op,combo,yes,no,eat in,1,1,0,3,45,175000,750,73,West Central Queens,755
1952,no,co-op,formal,no,no,efficiency,1,1,0,3,NA,138000,NA,80,North Queens,500
2015,yes,condo,NA,yes,no,eat in,1,1,0,3,NA,570000,NA,96,Northwest Queens,407.3333333
2015,yes,condo,NA,yes,no,eat in,1,1,0,3,NA,605000,530,96,Northwest Queens,469.5833333
1955,yes,co-op,combo,yes,no,efficiency,1,1,0,4,NA,175500,NA,55,Northeast Queens,669
1960,no,co-op,formal,no,no,eat in,2,1,0,6,NA,222500,950,70,North Queens,865
1969,no,co-op,formal,no,yes,eat in,2,2,0,5,40,600000,NA,76,North Queens,1962
1960,no,co-op,combo,no,no,eat in,2,1,0,5,NA,260000,NA,80,North Queens,1227
1952,yes,co-op,NA,yes,no,efficiency,1,1,0,3,NA,220000,NA,98,West Queens,638
1930,yes,co-op,NA,no,no,efficiency,2,1,0,5,NA,154000,NA,77,Southwest Queens,879
1955,no,co-op,NA,no,no,efficiency,1,1,0,3,NA,155000,NA,82,Northeast Queens,664
1955,yes,co-op,NA,yes,no,efficiency,2,1,0,5,NA,327000,984,93,West Central Queens,739
1950,no,co-op,combo,no,no,eat in,1,1,0,4,NA,106000,NA,82,Southeast Queens,669.9166667
1961,no,co-op,combo,no,no,efficiency,2,2,0,6,NA,260000,1200,88,West Queens,813
1950,yes,co-op,NA,yes,no,Combo,1,1,0,4,NA,135000,590,58,Southeast Queens,684
1945,no,co-op,NA,no,no,efficiency,2,1,0,4,NA,124000,702,73,Southeast Queens,720
1941,no,co-op,formal,no,no,Combo,2,1,0,4,NA,340000,1000,93,West Central Queens,910
1955,no,co-op,combo,no,no,eat in,2,1,0,4,NA,233000,NA,85,North Queens,814
1968,no,co-op,formal,no,no,efficiency,1,1,0,4,NA,127500,NA,88,West Central Queens,392
1985,no,condo,combo,no,no,Combo,1,1,0,3,NA,440000,689,93,North Queens,441.3333333
1985,no,condo,NA,no,no,efficiency,2,1,1,5,NA,610000,NA,94,North Queens,988.3333333
1952,no,co-op,NA,no,no,efficiency,1,1,0,3,40,131000,750,97,Jamaica,824
1950,no,co-op,combo,no,no,eat in,3,1,0,5,NA,275000,NA,77,Northeast Queens,846
1965,yes,co-op,formal,no,no,efficiency,1,1,0,3,NA,96000,NA,73,Southwest Queens,803
1950,yes,co-op,formal,no,no,efficiency,3,1,0,6,NA,270000,NA,75,Northeast Queens,601
1961,yes,co-op,formal,no,no,eat in,3,2,0,5,NA,390000,NA,76,Northeast Queens,1213
1949,no,co-op,combo,no,no,eat in,1,1,0,3,50,235000,NA,90,West Central Queens,875
1960,yes,co-op,combo,yes,no,efficiency,3,1,0,5,NA,436000,NA,90,West Central Queens,1294
1969,no,co-op,combo,no,no,combo,1,1,0,4,50,145000,NA,90,Southwest Queens,575
1949,no,condo,formal,no,no,eat in,1,2,0,6,NA,420000,NA,48,Northeast Queens,893.3333333
1960,no,co-op,combo,no,no,eat in,1,1,0,3,NA,130000,750,77,Jamaica,660
1989,no,condo,combo,no,no,efficiency,2,2,1,8,NA,420000,1000,94,Jamaica,421.6666667
1964,no,co-op,formal,no,no,eat in,1,1,0,3,45,275000,825,97,West Central Queens,860
1950,yes,co-op,NA,yes,no,eat in,1,1,0,3,NA,237000,NA,97,Northwest Queens,722
1970,yes,co-op,NA,yes,no,efficiency,3,2,1,7,40,400000,1800,76,North Queens,2252
1936,yes,co-op,NA,yes,no,eat in,1,1,0,3,49,235000,1000,84,Southwest Queens,869
2015,yes,condo,NA,yes,no,eat in,0,1,0,3,NA,596000,532,96,Northwest Queens,465.25
1955,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,155000,NA,77,Southwest Queens,602
1950,yes,co-op,NA,no,no,efficiency,1,1,0,4,NA,145000,586,82,Northeast Queens,656
1950,no,co-op,combo,no,no,eat in,1,1,0,4,NA,113000,NA,72,Southeast Queens,666.9166667
1955,no,co-op,combo,no,no,Combo,2,1,0,4,50,162000,NA,69,Southeast Queens,641
1964,yes,co-op,formal,yes,no,efficiency,2,1,0,5,NA,145000,NA,73,Southwest Queens,732
1961,yes,co-op,combo,no,no,efficiency,1,1,0,3,NA,160000,NA,76,Northeast Queens,757
1936,no,co-op,NA,no,no,eat in,0,1,0,2,NA,175000,NA,85,West Queens,452
1951,yes,co-op,combo,yes,no,efficiency,1,1,0,3,NA,180000,NA,87,Central Queens,638
